full_title;link;location;start_day;start_month;start_year;end_day;end_month;end_year;tags;site;cd_day;cd_month;cd_year
15th Annual Conference of the Italian Association for Cognitive Sciences;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333537;Pavia;17;11;2018;19;11;2018;Cognitive Science, Computational Linguistics, Linguistic Theories, Neurolinguistics;http://www.aisc-net.org/home/;10;8;2018
2018 Seminar on Linguistic Typology and the Expressions of Motion Events in Languages in China;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=313096;Changshu;21;11;2018;23;11;2018;Typology;None;30;8;2018
8th International Conference on Academic Studies in Human Educational and Social Sciences;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343816;Tirana, ALBANIA;14;11;2018;15;11;2018;General Linguistics;http://www.mcser.org/ashess-conference/;25;10;2018
Linguistic Issues in Vietnam and Southeast Asia;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=328276;Ho Chi Minh City;21;11;2018;22;11;2018;Applied Linguistics, Historical Linguistics, Psycholinguistics, Sociolinguistics, Typology;http://nnh.hcmussh.edu.vn;30;8;2018
Semantics and Philosophy in Europe 10;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335296;Barcelona, Catalonia;17;11;2018;19;11;2018;General Linguistics, Philosophy of Language, Pragmatics, Psycholinguistics, Semantics;https://spe10.com/;15;8;2018
16th Old World Conference on Phonology;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329116;Verona;16;0;2019;18;0;2019;Phonology;None;None;None;None
2019 MLA Convention Session: Pathways to Paradigm Change: Critical Examinations of Prevailing Discourses and Ideologies in Second Language Education;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=320097;Chicago/Illinois;3;0;2019;6;0;2019;None;http://aausc.org/AAUSCblog/5725003;15;2;2018
3rd International Conference on Teaching Grammar;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=308676;Barcelona;23;0;2019;25;0;2019;Applied Linguistics;https://congram19engl.wordpress.com/;1;5;2018
4th Variation and Language Processing;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=324236;Sydney, NSW;23;0;2019;25;0;2019;Cognitive Science, General Linguistics, Psycholinguistics, Sociolinguistics;None;31;6;2018
6th Workshop on Portuguese as a Second Language - Acquisition and Teaching;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338716;Lisbon;18;0;2019;19;0;2019;Language Acquisition;None;21;9;2018
"AAAI Workshop on Affective Content Analysis &amp; Happiness Shared Task: Modeling Affect-in-Action";https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347617;Honolulu, Hawaii;27;0;2019;28;0;2019;Applied Linguistics, Computational Linguistics, General Linguistics, Psycholinguistics, Sociolinguistics;https://sites.google.com/view/affcon2019/home;5;10;2018
American Dialect Society Annual Meeting;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325896;New York, NY;3;0;2019;6;0;2019;General Linguistics, Sociolinguistics;https://www.americandialect.org/cfp-2019;12;7;2018
